	OPC	Excitatory	Astrocytes	Microglia	Endothelial	Inhibitory	Oligo
C-12111	0.06710737	0.2784367	0.22921212	0.001128922	0.089235336	0.24411462	0.09076486
C-15086	0.05836195	0.28573254	0.23471615	0.001710085	0.093570136	0.2538926	0.07201657
C-16010	0.04029716	0.3337969	0.23287083	0.0	0.0863343	0.2703387	0.036362145
C-16073	0.0698252	0.28849193	0.23049074	0.0026307283	0.084642366	0.23875378	0.08516525
C-16088	0.040276743	0.3329465	0.22946566	0.0	0.09129168	0.2748975	0.031121934
C-99134	0.036343314	0.32710204	0.22933714	0.0	0.09690341	0.27197707	0.03833701
E-02945	0.042382475	0.31803605	0.24462304	0.0	0.08692769	0.2791987	0.02883197
E-02951	0.06251557	0.2608428	0.23844297	0.008681196	0.09478938	0.25849655	0.07623158
E-10317	0.030464804	0.34794453	0.24182308	0.0	0.09012138	0.28964615	0.0
E-10608	0.05366802	0.29689738	0.23553595	0.0	0.08756553	0.27917343	0.047159698
E-11050	0.05603104	0.28975222	0.23527892	0.0019776274	0.09912971	0.25690624	0.06092427
E-11051	0.03524335	0.34908462	0.23102285	0.0	0.09171036	0.28754243	0.005396435
E-11053	0.036823742	0.32814118	0.23064469	0.0	0.08682183	0.27898473	0.038583808
E-19639	0.02134478	0.36801434	0.23509125	0.0	0.08497225	0.2905774	0.0
E-19663	0.052526176	0.30428568	0.23072988	0.0	0.092140436	0.26969108	0.050626747
E-24635	0.05376673	0.31439584	0.23739968	0.0	0.09485404	0.26128554	0.038298134
F-10242	0.05026672	0.295519	0.2416586	0.0	0.09487536	0.2735583	0.044122003
F-15611	0.027178802	0.33496	0.23692651	0.0	0.09124254	0.29841837	0.011273757
F-15621	0.03258396	0.32754532	0.23547935	0.0	0.09057441	0.30123535	0.012581637
F-15626	0.05013387	0.31764373	0.23447004	0.0	0.07816	0.27520627	0.04438605
F-15669	0.045212716	0.31413525	0.23779623	0.0	0.10433515	0.28259653	0.015924128
F-16253	0.03690968	0.32149944	0.23322043	0.0	0.09210167	0.2961662	0.020102583
F-16307	0.044184636	0.33816183	0.23121561	0.00027815206	0.088853344	0.26953167	0.027774774
F-16317	0.077162296	0.24527065	0.23797694	0.0035498021	0.10482013	0.23128529	0.099934876
F-21801	0.05813593	0.28220677	0.23288995	0.001106902	0.090674646	0.26729554	0.06769023
F-30139	0.04719734	0.32149702	0.24072863	0.0041960864	0.09062632	0.26567698	0.03007761
F-30886	0.07722566	0.25339317	0.24644968	0.0038922117	0.09688139	0.23675698	0.08540095
F-32590	0.03974132	0.33477402	0.24288228	0.0	0.08817612	0.27907455	0.015351752
G-10007	0.044529166	0.3162767	0.25037053	0.0	0.08359268	0.2842767	0.020954283
G-11021	0.026222797	0.35628092	0.24213248	0.0	0.08325354	0.29211032	0.0
G-11044	0.03360434	0.36089104	0.23880143	0.0	0.07128163	0.28746158	0.007959974
G-11082	0.070045166	0.26347047	0.23946674	0.0065251603	0.09304997	0.24779688	0.07964555
G-11090	0.02134229	0.36092675	0.23785257	0.0	0.08385893	0.29601946	0.0
G-11114	0.04853176	0.3066895	0.24079522	0.0018358021	0.0971059	0.2667648	0.038276993
G-12088	0.05742273	0.29666814	0.23156883	0.0	0.099224396	0.25695333	0.058162544
G-15087	0.05557232	0.30776677	0.23643059	0.0	0.084454864	0.26391408	0.05186138
H-0C046	0.06166965	0.27395138	0.24909917	0.007235214	0.09530024	0.26077193	0.05197247
H-0C048	0.035183065	0.31292215	0.24799672	0.0	0.09053625	0.3017036	0.011658208
H-0C072	0.06685591	0.27643472	0.2347154	0.0070316875	0.096983775	0.24061194	0.07736653
H-0C083	0.06974655	0.2576443	0.23938444	0.010756508	0.09886593	0.23586424	0.08773802
H-0C084	0.056055777	0.28322548	0.25329223	0.0031360048	0.09073622	0.27094647	0.042607833
H-0C085	0.040857915	0.30547327	0.23771128	0.0018248376	0.09631435	0.2881205	0.029697813
H-0C096	0.06459693	0.2564833	0.24848446	0.008539751	0.090320826	0.26413277	0.06744194
H-0C730	0.05897038	0.28531107	0.23963222	0.0021289352	0.09768061	0.25442427	0.06185249
H-DC005	0.06274216	0.28427285	0.23452401	0.001940112	0.10008957	0.2564269	0.060004447
H-DC022	0.060148593	0.28679845	0.24036352	0.0012523059	0.099836916	0.26329026	0.048309926
H-DC023	0.042162385	0.31465787	0.24094737	0.0	0.09296969	0.28854716	0.020715538
H-DC027	0.06624619	0.26552668	0.24586561	0.0035959072	0.0975988	0.2561667	0.065000065
H-DC029	0.050733205	0.30267003	0.23862424	0.0	0.101948306	0.27491254	0.031111648
H-DC040	0.04299913	0.30796093	0.22736974	0.0	0.10767586	0.26700607	0.046988275
H-DC092	0.052244324	0.27991152	0.23306261	0.0047631795	0.10227926	0.26637006	0.061369035
H-DC107	0.053919166	0.28616574	0.2354065	0.0032740955	0.103416234	0.2564743	0.061344028
H-DC110	0.060460966	0.28170282	0.24357198	0.0	0.10657801	0.2622482	0.045438115
H-DC112	0.037032776	0.3239211	0.2520411	0.0	0.08406541	0.29643422	0.0065054335
