	OPC	Excitatory	Astrocytes	Microglia	Endothelial	Inhibitory	Oligo
F-16307	0.0	0.3676925	0.17712405	0.0	0.12254058	0.27711618	0.055526745
F-16317	0.0	0.17680511	0.20790038	0.0	0.17216134	0.19928098	0.24385227
F-21801	0.0	0.23454046	0.18298405	0.0	0.13312729	0.29073533	0.15861285
F-30139	0.0	0.33196488	0.19675183	0.0	0.12981945	0.27755335	0.06391048
F-30886	0.0	0.19639292	0.23050858	0.0	0.15175624	0.21303634	0.20830584
F-32590	0.0	0.34922293	0.20279954	0.0	0.117345646	0.31058285	0.020049075
G-10007	0.0	0.3165719	0.22479022	0.0	0.10630537	0.3242622	0.028070351
G-11021	0.0	0.37817693	0.19196117	0.0	0.093492135	0.3363697	0.0
G-11044	0.0	0.41496262	0.18968321	0.0	0.074827515	0.3194851	0.0010415853
G-11082	0.0	0.2107431	0.21434548	0.0	0.1392573	0.24583887	0.18981528
G-11090	0.0	0.3761261	0.17887048	0.0	0.09870553	0.34629786	0.0
G-11114	0.0	0.2929576	0.1998863	0.0	0.14377882	0.28329617	0.08008101
G-12088	0.0	0.26502985	0.18368444	0.0	0.15134954	0.2610409	0.13889527
G-15087	0.0	0.29888335	0.19471492	0.0	0.11192059	0.26954225	0.12493893
H-0C046	0.0	0.22697823	0.2298534	0.0	0.14321856	0.2833489	0.11660092
H-0C048	0.0	0.27696913	0.22489122	0.0	0.117660776	0.38047886	0.0
H-0C072	0.0	0.24014303	0.20113784	0.0	0.14904104	0.21741034	0.19226775
H-0C083	0.0	0.19870351	0.21039104	0.0	0.15351906	0.21661966	0.22076677
H-0C084	0.0	0.24584399	0.24204722	0.0	0.12715277	0.2968433	0.08811274
H-0C085	0.0	0.2723788	0.19298972	0.0	0.13497104	0.3450893	0.054571107
H-0C096	0.0	0.1840056	0.22655085	0.006614234	0.13035996	0.2988374	0.15363196
H-0C730	0.0	0.24503197	0.20328838	0.0	0.15183751	0.25330028	0.14654185
H-DC005	0.0	0.25155467	0.1920206	0.0	0.1583484	0.25652516	0.14155121
H-DC022	0.0	0.26097396	0.20742536	0.0	0.14955051	0.27560747	0.106442645
H-DC023	0.0	0.2977177	0.20147702	0.0	0.13002713	0.34365016	0.027127981
H-DC027	0.0	0.21007845	0.22175184	0.0	0.14987187	0.2624187	0.15587917
H-DC029	0.0	0.27470395	0.19709283	0.0	0.15652479	0.31437856	0.057299912
H-DC040	0.0	0.26874533	0.16810551	0.0	0.1677963	0.29120356	0.10414927
H-DC092	0.0	0.21967612	0.18526788	0.0	0.15616155	0.29558522	0.14330932
H-DC107	0.0	0.23889817	0.19147868	0.0	0.16201045	0.26461047	0.14300226
H-DC110	0.0	0.24590406	0.21062106	0.0	0.16781177	0.27947766	0.09618549
H-DC112	0.0	0.31446323	0.22461855	0.0	0.10289109	0.35802713	0.0
