	OPC	Excitatory	Astrocytes	Microglia	Endothelial	Inhibitory	Oligo
B-06271	0.04390051	0.3248532	0.18552929	0.031450648	0.1237919	0.12843925	0.16203521
B-06277	0.05830918	0.25646603	0.16116299	0.03407198	0.14074403	0.075210236	0.27403557
B-06281	0.0492848	0.21696724	0.16066419	0.037026573	0.16379559	0.08021272	0.29204893
B-06282	0.027495379	0.32411793	0.17386083	0.030671561	0.15579517	0.18906689	0.09899231
B-06421	0.023353463	0.38505366	0.15596892	0.023584083	0.13875024	0.16855662	0.10473303
B-10269	0.031109894	0.3837378	0.20289935	0.024295583	0.12845312	0.122035295	0.10746897
B-10302	0.05867277	0.23621596	0.16068922	0.036791865	0.15814722	0.08028398	0.26919898
B-10991	0.060283314	0.27339438	0.16885473	0.039287638	0.20094688	0.09113414	0.1660989
B-15192	0.043244258	0.30597904	0.17758548	0.028640443	0.14116263	0.100946754	0.2024414
B-15605	0.047204476	0.32159695	0.17786111	0.030264983	0.15286422	0.11182072	0.15838762
B-16200	0.04423971	0.2765212	0.1631094	0.03961968	0.14331998	0.116552494	0.21663748
B-16208	0.03581293	0.3414061	0.17934906	0.030087715	0.14610289	0.11748606	0.14975522
B-20044	0.039001767	0.2536004	0.17005076	0.03653856	0.14893436	0.11154598	0.24032812
B-28151	0.028632468	0.43458715	0.15527909	0.025389083	0.14491479	0.13757436	0.073623106
B-28382	0.043591652	0.24660479	0.17755294	0.045452166	0.15511127	0.09750533	0.23418182
B-28832	0.03378871	0.29664633	0.15836178	0.028725242	0.15174575	0.10529814	0.22543405
B-28930	0.04274785	0.19753335	0.16173153	0.037928198	0.14683354	0.09492128	0.31830418
B-30042	0.0378949	0.31084442	0.17337005	0.033712383	0.15413962	0.12345942	0.16657923
C-03063	0.034671128	0.26428303	0.16551277	0.030530723	0.15627414	0.080971934	0.2677563
C-11112	0.046458874	0.21977647	0.15320463	0.037466634	0.13685977	0.07396542	0.33226815
C-12100	0.03251518	0.33434454	0.17545016	0.03296624	0.16051154	0.12009689	0.14411546
C-12111	0.040887374	0.21677601	0.14657709	0.031229615	0.13422634	0.06470739	0.3655962
C-15086	0.0424719	0.21749838	0.15543503	0.03051394	0.1506413	0.0780662	0.3253732
C-16010	0.038410272	0.29365167	0.16635303	0.030363036	0.14854069	0.09336265	0.22931862
C-16073	0.047793895	0.23504992	0.14434107	0.036301505	0.13876893	0.05515139	0.34259328
C-16088	0.041859064	0.3165923	0.16473655	0.026480436	0.15175332	0.098771155	0.19980715
C-99134	0.026945936	0.27577814	0.17126882	0.025519446	0.16360064	0.099767186	0.23711981
E-02945	0.04510903	0.2835585	0.19151294	0.03024813	0.14868312	0.11344705	0.18744119
E-02951	0.05491756	0.17675936	0.15733106	0.04095253	0.1577862	0.09614578	0.3161075
E-10317	0.026010895	0.39369857	0.17717767	0.029134646	0.16417716	0.13413148	0.075669624
E-10608	0.054924894	0.24514563	0.15581428	0.036038335	0.15655242	0.11564583	0.2358786
E-11050	0.043596383	0.21235771	0.15731388	0.037588976	0.16212542	0.0814947	0.3055229
E-11051	0.034449216	0.3676826	0.16160463	0.023512453	0.15707947	0.13759969	0.11807195
E-11053	0.02839973	0.3012849	0.16693842	0.031507697	0.14206864	0.10657536	0.22322524
E-19639	0.019591399	0.46495605	0.17119183	0.019645238	0.14027528	0.12921111	0.055129055
E-19663	0.049319725	0.24817725	0.15111862	0.035274595	0.16119827	0.0925593	0.26235226
E-24635	0.05309285	0.26695135	0.16541205	0.039712086	0.17456342	0.0812084	0.21905982
F-10242	0.047760785	0.23466985	0.1744485	0.039160606	0.16858648	0.10348167	0.23189206
F-15611	0.02910816	0.310599	0.1758373	0.027133554	0.15035819	0.1750412	0.1319226
F-15621	0.03025948	0.30468592	0.1719896	0.027487548	0.14529578	0.18937896	0.13090277
F-15626	0.047132477	0.2925786	0.16450019	0.029739672	0.121982895	0.10847833	0.23558779
F-15669	0.04857458	0.28678885	0.16934724	0.03358866	0.19297944	0.11524737	0.15347388
F-16253	0.036674105	0.3003806	0.16653754	0.035217203	0.14990576	0.15332134	0.15796353
F-16307	0.044360265	0.3468046	0.14651693	0.042943936	0.16715534	0.08116255	0.17105639
F-16317	0.05470258	0.14462917	0.1613398	0.036235992	0.17290467	0.054936636	0.37525114
F-21801	0.050344896	0.21112472	0.15071595	0.036770467	0.14066559	0.09861501	0.31176338
F-30139	0.045849603	0.29375824	0.1697731	0.03900397	0.17818886	0.08519569	0.18823056
F-30886	0.059100494	0.18848847	0.167978	0.03738681	0.15644835	0.059736896	0.330861
F-32590	0.040343497	0.33058122	0.17672126	0.036948357	0.16394657	0.10197092	0.1494882
G-10007	0.049638283	0.2850465	0.20183188	0.029983291	0.14436686	0.13592082	0.15321241
G-11021	0.029204985	0.40401664	0.18496996	0.026398534	0.13818236	0.14852746	0.06869999
G-11044	0.031176055	0.41580805	0.1631947	0.026574226	0.120821714	0.12063149	0.12179377
G-11082	0.053620517	0.1923409	0.1567666	0.04416458	0.15269269	0.07361624	0.3267985
G-11090	0.022413166	0.40830782	0.17161775	0.025134303	0.13124058	0.15994738	0.08133895
G-11114	0.03922363	0.2607983	0.18866765	0.037341055	0.16696572	0.08891076	0.21809287
G-12088	0.04245432	0.22798814	0.16156869	0.03440761	0.16781735	0.078892075	0.28687185
G-15087	0.040705264	0.2832122	0.16553031	0.038818944	0.14267112	0.07539409	0.25366807
H-0C046	0.061351527	0.21521091	0.1817584	0.0452384	0.1673671	0.08775977	0.24131392
H-0C048	0.032754604	0.2918198	0.19030301	0.030215295	0.15747052	0.16188955	0.13554716
H-0C072	0.05631928	0.20157908	0.15040413	0.046681076	0.15952004	0.06725632	0.31824008
H-0C083	0.04327483	0.1718284	0.15766633	0.05203815	0.16210902	0.058388595	0.35469463
H-0C084	0.051574152	0.23813833	0.19502439	0.043940395	0.15761411	0.0986023	0.2151063
H-0C085	0.035956733	0.24303168	0.17951138	0.0390683	0.16698657	0.16084602	0.17459925
H-0C096	0.06549052	0.18455277	0.17534411	0.046695884	0.15276182	0.10454699	0.2706079
H-0C730	0.04633878	0.21940355	0.16806877	0.043634657	0.15880649	0.07567144	0.28807628
H-DC005	0.054738615	0.22916432	0.14512594	0.03799212	0.1697185	0.075720705	0.2875398
H-DC022	0.05278973	0.23468558	0.16568011	0.04298055	0.18093757	0.08748963	0.23543686
H-DC023	0.03587571	0.29207522	0.17524411	0.03427439	0.165322	0.14291607	0.15429251
H-DC027	0.051344033	0.20125835	0.17297892	0.04227696	0.16456527	0.07842225	0.2891542
H-DC029	0.049551427	0.24381848	0.18185823	0.036333203	0.18075134	0.124362476	0.18332487
H-DC040	0.031533077	0.22343953	0.15885867	0.028879488	0.18906389	0.103776656	0.26444867
H-DC092	0.041362494	0.19248712	0.15882634	0.03907154	0.16789429	0.09900572	0.3013525
H-DC107	0.039730147	0.19955353	0.15683621	0.03498644	0.17892522	0.07849662	0.31147185
H-DC110	0.054612797	0.2336206	0.16548753	0.03534847	0.18613464	0.081825055	0.24297084
H-DC112	0.036916923	0.31603858	0.20806736	0.037497148	0.14164692	0.14478599	0.115047045
